activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
27,E3,-76.94512935985917,38.98093954859153,"POLYGON ((-76.94858 38.97831999999999,-76.94858 38.98465999999999,-76.94224000000001 38.98465999999999,-76.94224000000001 38.97831999999999,-76.94858 38.97831999999999))",POINT (-76.94512935985917 38.98093954859153),108,8,0,0,7,11,0,1256.8997216538753,1039.7181098500218
28,E4,-76.9386203776744,38.98088952000002,"POLYGON ((-76.94224000000001 38.97831999999999,-76.94224000000001 38.98465999999999,-76.93590000000002 38.98465999999999,-76.93590000000002 38.97831999999999,-76.94224000000001 38.97831999999999))",POINT (-76.9386203776744 38.98088952000002),144,12,1,2,1,25,0,2147.7884652110133,1977.7522750553735
29,E5,-76.93288783909087,38.98098415545455,"POLYGON ((-76.93590000000002 38.97831999999999,-76.93590000000002 38.98465999999999,-76.92956000000002 38.98465999999999,-76.92956000000002 38.97831999999999,-76.93590000000002 38.97831999999999))",POINT (-76.93288783909087 38.98098415545455),321,16,0,0,0,18,0,2873.840050107917,2828.6488271567378
30,E6,-76.9280749,38.9833154,"POLYGON ((-76.92956000000002 38.97831999999999,-76.92956000000002 38.98465999999999,-76.92322000000003 38.98465999999999,-76.92322000000003 38.97831999999999,-76.92956000000002 38.97831999999999))",POINT (-76.9280749 38.9833154),1,0,0,0,1,0,0,637.200945287712,54.46161925536001
31,F1,-76.95664948405796,38.97743017536231,"POLYGON ((-76.96126 38.97197999999999,-76.96126 38.97831999999999,-76.95492 38.97831999999999,-76.95492 38.97197999999999,-76.96126 38.97197999999999))",POINT (-76.95664948405796 38.97743017536231),60,0,0,0,0,0,0,293.4623795264,293.4623795264
32,F2,-76.9524547340909,38.97738852499999,"POLYGON ((-76.95492 38.97197999999999,-76.95492 38.97831999999999,-76.94858 38.97831999999999,-76.94858 38.97197999999999,-76.95492 38.97197999999999))",POINT (-76.9524547340909 38.97738852499999),74,28,0,0,0,0,0,338.7818223335039,357.2585696749827
33,F3,-76.94512680263158,38.97735630526315,"POLYGON ((-76.94858 38.97197999999999,-76.94858 38.97831999999999,-76.94224000000001 38.97831999999999,-76.94224000000001 38.97197999999999,-76.94858 38.97197999999999))",POINT (-76.94512680263158 38.97735630526315),67,6,0,0,0,0,0,291.10863523923206,295.0695174604033
34,F4,-76.93843308214282,38.97740699166667,"POLYGON ((-76.94224000000001 38.97197999999999,-76.94224000000001 38.97831999999999,-76.93590000000002 38.97831999999999,-76.93590000000002 38.97197999999999,-76.94224000000001 38.97197999999999))",POINT (-76.93843308214282 38.97740699166667),59,9,1,0,0,0,0,617.4183856961598,616.0088408653695
35,F5,-76.93279552039803,38.977330235820915,"POLYGON ((-76.93590000000002 38.97197999999999,-76.93590000000002 38.97831999999999,-76.92956000000002 38.97831999999999,-76.92956000000002 38.97197999999999,-76.93590000000002 38.97197999999999))",POINT (-76.93279552039803 38.977330235820915),163,0,0,0,1,0,0,923.5705029287484,901.4508069875836
36,F6,-76.9294298,38.977771,"POLYGON ((-76.92956000000002 38.97197999999999,-76.92956000000002 38.97831999999999,-76.92322000000003 38.97831999999999,-76.92322000000003 38.97197999999999,-76.92956000000002 38.97197999999999))",POINT (-76.9294298 38.977771),1,0,0,0,0,1,0,5.181585007904,1.20501976928
37,Gate1,-76.96443,38.97515,,POINT (-76.96443 38.97515),0,0,0,0,0,0,1,10.0,10.0
38,Gate2,-76.96443,38.98149000000001,,POINT (-76.96443 38.98149000000001),0,0,0,0,0,0,46,460.0,460.0
39,Gate3,-76.96443,38.98783,,POINT (-76.96443 38.98783),0,0,0,0,0,0,111,1110.0,1110.0
