name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
花園神社,27,102792887,,place_of_worship,,,"POLYGON ((139.705081 35.6939458, 139.7048781 35.6934218, 139.7054567 35.6932802, 139.7053336 35.6927572, 139.7053841 35.6927448, 139.7054267 35.6927344, 139.7055615 35.6932689, 139.7061168 35.693194, 139.7062069 35.6933454, 139.7062684 35.693449, 139.7062954 35.6934943, 139.7062056 35.6935241, 139.706283 35.6936868, 139.705081 35.6939458))",POINT (139.7055782 35.6935129),7533.8,81093.6
,28,109501208,,commercial,,,"POLYGON ((139.7022893 35.6861693, 139.7023062 35.6861718, 139.7023186 35.6861735, 139.702342 35.6861769, 139.7023645 35.6861802, 139.7023776 35.6861821, 139.7025833 35.6862117, 139.7026898 35.6857247, 139.702436 35.685688, 139.702408 35.685684, 139.7023959 35.6856822, 139.7022893 35.6861693))",POINT (139.7024896 35.685947),1480.5,15935.6
PaLeTTe,29,116589911,,yes,,,"POLYGON ((139.6997624 35.6925748, 139.6998437 35.6923619, 139.6994807 35.6923304, 139.6994397 35.6926278, 139.6997624 35.6925748))",POINT (139.6996229 35.6924702),870.7,9372.1
かどやホテル,30,116596172,,yes,,,"POLYGON ((139.6960681 35.6898484, 139.6962611 35.6898617, 139.6962741 35.6897041, 139.6960812 35.6896926, 139.6960681 35.6898484))",POINT (139.6961713 35.6897767),306.2,3295.7
ルミネ新宿,31,116596174,,retail,,,"POLYGON ((139.699025 35.6893357, 139.699508 35.6893893, 139.699518 35.6892855, 139.6995692 35.6892911, 139.6995945 35.689063, 139.6992369 35.6889058, 139.6991975 35.6888885, 139.6990694 35.6889495, 139.699025 35.6893357))",POINT (139.6992971 35.6891569),2121.5,22835.2
京王プラザホテル,32,116596175,,hotel,,,"POLYGON ((139.6938138 35.6904664, 139.6946258 35.6905998, 139.6946594 35.6906053, 139.6947878 35.6900897, 139.6948213 35.6899553, 139.6949392 35.6894531, 139.694706 35.6894142, 139.6940415 35.6893035, 139.6939571 35.6896678, 139.6940417 35.6896804, 139.6940348 35.6897145, 139.6939953 35.689708, 139.6938138 35.6904664))",POINT (139.694371 35.6899509),10386.7,111801.0
新宿エルタワー,33,116596176,,yes,,,"POLYGON ((139.69706 35.6924869, 139.6971593 35.692492, 139.6972152 35.6924949, 139.6972217 35.6924442, 139.6972979 35.6924474, 139.6972942 35.6924979, 139.6974964 35.6925085, 139.6975015 35.6924537, 139.6975634 35.6924568, 139.6975693 35.692404, 139.6976372 35.6924067, 139.6976422 35.6923527, 139.6977062 35.6923559, 139.6977118 35.6923038, 139.6977748 35.6923075, 139.697779 35.6922561, 139.6978503 35.6922567, 139.6978681 35.6920391, 139.6977967 35.6920353, 139.6977923 35.6920815, 139.6976676 35.6920792, 139.6976697 35.6920515, 139.697092 35.6920144, 139.697088 35.6920621, 139.69706 35.6924869))",POINT (139.6974163 35.6922437),3031.3,32628.8
新宿郵便局,34,116596177,,post_office,,,"POLYGON ((139.6968589 35.6905608, 139.6968731 35.6903996, 139.697141 35.6904151, 139.697163 35.6901641, 139.696528 35.6901273, 139.6964918 35.6905395, 139.6968589 35.6905608))",POINT (139.6967933 35.6903249),2207.2,23758.1
新宿駅,35,116596178,,train_station,,,"POLYGON ((139.6999086 35.6897625, 139.6999151 35.6897369, 139.6999409 35.6896344, 139.69996 35.6895585, 139.6999804 35.6894776, 139.699992 35.6894316, 139.6999988 35.6894047, 139.7000279 35.6892891, 139.700048 35.6892094, 139.7001101 35.6892197, 139.7003203 35.6892552, 139.7007246 35.6893198, 139.7007606 35.6893234, 139.7008092 35.6893359, 139.7008219 35.689338, 139.700834 35.68934, 139.701061 35.6893777, 139.7009487 35.6898237, 139.7009217 35.6899309, 139.7008669 35.6899217, 139.7008136 35.6899129, 139.7007603 35.689904, 139.7007084 35.6898954, 139.7005666 35.6898718, 139.7005397 35.6898674, 139.7005105 35.6898625, 139.700501 35.6898609, 139.7003834 35.6898414, 139.7003669 35.6898386, 139.7003522 35.6898362, 139.7003434 35.6898347, 139.700222 35.6898146, 139.7002012 35.6898111, 139.7001685 35.6898057, 139.7001588 35.6898041, 139.7000382 35.689784, 139.7000198 35.6897809, 139.6999966 35.6897771, 139.699989 35.6897758, 139.6999086 35.6897625))",POINT (139.700485 35.6895699),5863.0,63109.1
,36,116596183,,bus_station,,,"POLYGON ((139.6990946 35.6915993, 139.6990513 35.6915966, 139.6990019 35.6915937, 139.6989733 35.6915919, 139.6989083 35.691588, 139.6987569 35.691579, 139.6984006 35.6915573, 139.6982817 35.6915502, 139.6982804 35.6915657, 139.698279 35.6915814, 139.6982733 35.6916465, 139.698272 35.6916603, 139.6982708 35.6916742, 139.6982702 35.6916797, 139.6982979 35.6916815, 139.6982927 35.6917422, 139.6982924 35.6917463, 139.6982913 35.6917607, 139.6982902 35.6917752, 139.6982899 35.6917809, 139.6982865 35.6918346, 139.6982862 35.6918387, 139.6982849 35.6918539, 139.6982836 35.6918695, 139.6982833 35.6918726, 139.6982787 35.6919238, 139.6983129 35.6919656, 139.6983226 35.6919583, 139.6983313 35.6919525, 139.6983457 35.6919463, 139.6983595 35.6919427, 139.6983726 35.6919408, 139.6983876 35.6919403, 139.6984681 35.6919454, 139.6989397 35.6919747, 139.6990897 35.6919823, 139.6991155 35.6919836, 139.6991227 35.6919845, 139.6991278 35.6919854, 139.699132 35.6919864, 139.6991369 35.6919881, 139.6991419 35.6919903, 139.6991475 35.6919943, 139.6991508 35.6919972, 139.6991538 35.6920008, 139.6991558 35.6920044, 139.699176 35.6919199, 139.6991774 35.6919045, 139.6991787 35.6918891, 139.6991772 35.6918841, 139.6991618 35.6918305, 139.6991601 35.6918246, 139.6991515 35.6917949, 139.6991497 35.691789, 139.6991333 35.6917323, 139.6991316 35.6917263, 139.6991068 35.6916315, 139.6990917 35.6916305, 139.6990932 35.6916149, 139.6990946 35.6915993))",POINT (139.6987141 35.691772),3335.6,35903.8
ルミネエスト新宿,37,116709670,,retail,,,"POLYGON ((139.7008076 35.6917868, 139.7010483 35.6918068, 139.7012149 35.6918207, 139.7012216 35.6918213, 139.7012301 35.6917562, 139.7012509 35.6915977, 139.7012879 35.691319, 139.7013087 35.6911566, 139.7013471 35.6908631, 139.7013654 35.6907235, 139.7010721 35.690698, 139.7008076 35.6917868))",POINT (139.7011109 35.6912884),3943.7,42449.5
,38,136175512,,yes,,,"POLYGON ((139.6960805 35.6896833, 139.6962708 35.6896932, 139.6962819 35.6895661, 139.6962914 35.6894569, 139.6962619 35.6894298, 139.6960942 35.6894245, 139.6960805 35.6896833))",POINT (139.6961843 35.6895579),507.6,5464.2
,39,136175513,,yes,,,"POLYGON ((139.6976064 35.6900409, 139.6976171 35.68993, 139.6975433 35.6899253, 139.697536 35.6900016, 139.6975702 35.6900386, 139.6976064 35.6900409))",POINT (139.6975773 35.6899794),76.5,823.9
第一大正建物ビル,40,136175514,,yes,,,"POLYGON ((139.6974192 35.690359, 139.6975497 35.690365, 139.6975646 35.6901304, 139.6974732 35.6901198, 139.697436 35.6901501, 139.6974192 35.690359))",POINT (139.6974935 35.6902454),302.3,3253.7
山寺のHooters,41,136175515,,restaurant,,,"POLYGON ((139.6971545 35.6904089, 139.6972924 35.690412, 139.6973185 35.6901576, 139.6972794 35.6901077, 139.697175 35.6900986, 139.6971545 35.6904089))",POINT (139.6972344 35.6902589),428.8,4615.0
,42,136175516,,yes,,,"POLYGON ((139.6960692 35.6898584, 139.6962642 35.6898702, 139.696259 35.6899408, 139.6962168 35.6899633, 139.6960916 35.6899569, 139.6960613 35.6899301, 139.6960692 35.6898584))",POINT (139.6961618 35.6899104),181.6,1954.8
ヤマダ電機,43,136938170,,yes,,,"POLYGON ((139.6981886 35.6885041, 139.6978786 35.6883899, 139.69783 35.6884072, 139.6977266 35.6885926, 139.6978805 35.6886493, 139.6978682 35.6886714, 139.6979217 35.6886911, 139.6979161 35.6887011, 139.6980101 35.6887357, 139.6980718 35.6886252, 139.6981126 35.6886402, 139.6981886 35.6885041))",POINT (139.6979531 35.6885522),895.3,9636.8
山兼新宿ビル,44,136938172,,yes,,,"POLYGON ((139.6982532 35.6886449, 139.6982942 35.6886595, 139.6983502 35.6885556, 139.6983093 35.688541, 139.6982532 35.6886449))",POINT (139.6983017 35.6886003),50.7,545.8
須田ビル,45,136938174,,yes,,,"POLYGON ((139.6982002 35.6887216, 139.698299 35.6885431, 139.6982514 35.6885257, 139.6981526 35.6887042, 139.6982002 35.6887216))",POINT (139.6982258 35.6886236),102.2,1100.5
,46,136938175,,retail,,,"POLYGON ((139.6978147 35.6893583, 139.6978236 35.6892539, 139.6977441 35.6892495, 139.6977352 35.6893539, 139.6978147 35.6893583))",POINT (139.6977794 35.6893039),83.0,893.0
,47,136938176,,yes,,,"POLYGON ((139.699602 35.688185, 139.6999211 35.6882541, 139.7000996 35.6877106, 139.6997804 35.6876415, 139.699602 35.688185))",POINT (139.6998508 35.6879478),1864.0,20064.0
,48,136938177,,yes,,,"POLYGON ((139.6981856 35.6885227, 139.6981197 35.6886419, 139.6981686 35.6886598, 139.6982345 35.6885406, 139.6981856 35.6885227))",POINT (139.6981771 35.6885912),70.6,760.4
,49,136938178,,yes,,,"POLYGON ((139.6976545 35.6893524, 139.6977298 35.6893566, 139.6977392 35.689246, 139.6976639 35.6892418, 139.6976545 35.6893524))",POINT (139.6976968 35.6892992),84.7,911.5
,50,136938179,,yes,,,"POLYGON ((139.6977191 35.6892416, 139.6977274 35.6891437, 139.6976691 35.6891404, 139.6976607 35.6892383, 139.6977191 35.6892416))",POINT (139.6976941 35.689191),57.2,616.0
第一清新ビル,51,136938181,,yes,,,"POLYGON ((139.6979445 35.6893687, 139.6979554 35.6892404, 139.697836 35.6892337, 139.6978251 35.689362, 139.6979445 35.6893687))",POINT (139.6978903 35.6893012),154.6,1664.6
,52,136938182,,yes,,,"POLYGON ((139.6976834 35.6900426, 139.6977379 35.6900455, 139.6977465 35.6899389, 139.6976921 35.689936, 139.6976834 35.6900426))",POINT (139.697715 35.6899908),58.3,628.0
,53,136938183,,yes,,,"POLYGON ((139.6975807 35.6899259, 139.6977452 35.6899347, 139.6977667 35.6896688, 139.6976022 35.68966, 139.6975807 35.6899259))",POINT (139.6976737 35.6897974),441.4,4751.7
,54,136938184,,yes,,,"POLYGON ((139.6976178 35.6900387, 139.6976728 35.6900417, 139.6976814 35.689935, 139.6976264 35.6899321, 139.6976178 35.6900387))",POINT (139.6976496 35.6899869),59.2,637.7
桑原ビル,55,136938185,,yes,,,"POLYGON ((139.6980821 35.6892925, 139.697963 35.6892858, 139.6979554 35.6893751, 139.6980493 35.6893804, 139.698076 35.6893647, 139.6980821 35.6892925))",POINT (139.6980178 35.6893329),105.0,1130.5
