name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,307,1886876248,,,0,,,,116.3148209,39.8894872,,,
,308,1886979037,,,0,,,,116.315208,39.8895133,,,
,309,2048161750,,,0,,,,116.3364178,39.890873,,,
,310,2048161755,,,0,,,,116.3332706,39.8911234,,,
,311,2086625764,,,0,,,,116.3151207,39.892623,,,
,312,2102414960,,,0,,,,116.3086702,39.894133,,,
,313,2302272653,bus_stop,,0,,,,116.3040235,39.8905096,,,
,314,2489324718,,,0,,,,116.2850462,39.8956725,,,
,315,2489324719,,,0,,,,116.2830859,39.8956834,,,
,316,3099999955,,,0,,,,116.2820525,39.8960038,,,
,317,3369459829,,,0,,,,116.3150363,39.8946199,,,
,318,3369459830,,,0,,,,116.3151134,39.8946199,,,
,319,3370210850,,,0,,,,116.2775959,39.8932132,,,
,320,3370210852,,,0,,,,116.2846065,39.8932295,,,
,321,3370210853,,,0,,,,116.2776068,39.8931601,,,
,322,3370210855,,,0,,,,116.2844378,39.8932428,,,
,323,3370210856,,,0,,,,116.2776006,39.8930796,,,
,324,3370210862,,,0,,,,116.2847722,39.8930508,,,
,325,3370210865,,,0,,,,116.2852632,39.8930067,,,
,326,3370210866,,,0,,,,116.2776026,39.893021,,,
,327,3370210873,,,0,,,,116.2775998,39.8929695,,,
,328,3370210875,,,0,,,,116.284559,39.8930568,,,
,329,3370210876,,,0,,,,116.2776019,39.8929115,,,
,330,3370210879,,,0,,,,116.2850593,39.8930197,,,
,331,3370210880,,,0,,,,116.2776064,39.8928278,,,
,332,3370210883,,,0,,,,116.2847674,39.8930121,,,
,333,3370210885,,,0,,,,116.2776043,39.8927744,,,
,334,3370210887,,,0,,,,116.2843974,39.8929571,,,
,335,3370210889,,,0,,,,116.2776115,39.8927199,,,
,336,3370210896,,,0,,,,116.2852482,39.8929698,,,
,337,3370210897,,,0,,,,116.2776072,39.8926664,,,
,338,3370210903,,,0,,,,116.2847993,39.8928861,,,
,339,3370210904,,,0,,,,116.2776083,39.8925847,,,
,340,3370210907,,,0,,,,116.284578,39.8926755,,,
,341,3370210908,,,0,,,,116.285014,39.8927277,,,
,342,3370210910,,,0,,,,116.285569,39.892858,,,
,343,3370210911,,,0,,,,116.2776066,39.8925294,,,
,344,3370210915,,,0,,,,116.2776092,39.8924763,,,
,345,3370210919,,,0,,,,116.2845547,39.8926252,,,
