name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,20,238835391,,yes,,,"POLYGON ((-81.3008226 28.4272156, -81.3007994 28.4272642, -81.3007455 28.4272846, -81.3007434 28.4272847, -81.30068730000001 28.4272642, -81.30066410000001 28.4272162, -81.3006584 28.4269506, -81.3006816 28.4269013, -81.3007377 28.4268809, -81.3007937 28.4269013, -81.3008169 28.4269506, -81.3008226 28.4272156))",POINT (-81.3007405 28.4270829),623.7,6713.4
,21,238835392,,yes,,,"POLYGON ((-81.30143750000001 28.4266297, -81.3013991 28.4265899, -81.30139869999999 28.4265887, -81.30140419999999 28.4265356, -81.3014508 28.4265014, -81.30151119999999 28.4265063, -81.3017717 28.4266378, -81.3018106 28.4266788, -81.3018108 28.4266793, -81.3018051 28.4267319, -81.30175850000001 28.426766, -81.3016981 28.4267612, -81.30143750000001 28.4266297))",POINT (-81.3016046 28.4266337),622.7,6702.6
,22,289938134,,parking,,,"POLYGON ((-81.309203 28.4274533, -81.3092154 28.4271125, -81.3085335 28.4270933, -81.30852109999999 28.4274341, -81.309203 28.4274533))",POINT (-81.30886820000001 28.4272733),2527.6,27206.4
,23,300647166,,parking,,,"POLYGON ((-81.3394097 28.4421092, -81.3389798 28.4421078, -81.3389816 28.4416583, -81.3394115 28.4416596, -81.3394097 28.4421092))",POINT (-81.3391957 28.4418837),2096.6,22567.6
,24,334468871,,yes,,,"POLYGON ((-81.3320362 28.4265988, -81.3320331 28.4263786, -81.33197560000001 28.4263792, -81.3319747 28.4263169, -81.33200770000001 28.4263165, -81.3320071 28.4262759, -81.33183459999999 28.4262778, -81.3318371 28.4264538, -81.3318495 28.4264537, -81.33185159999999 28.4266008, -81.3320362 28.4265988))",POINT (-81.3319326 28.4264436),621.1,6685.4
,25,334468872,,yes,,,"POLYGON ((-81.3334332 28.4248526, -81.3333372 28.4248528, -81.333307 28.4248529, -81.33330669999999 28.424734, -81.33330549999999 28.4242206, -81.3333614 28.4242205, -81.33336180000001 28.424373, -81.3334321 28.4243728, -81.333433 28.4247331, -81.333433 28.4247676, -81.3334332 28.4248526))",POINT (-81.33336509999999 28.4245738),744.4,8012.6
,26,334468873,,yes,,,"POLYGON ((-81.3304377 28.4191381, -81.3304377 28.4190771, -81.3303604 28.4190771, -81.3303604 28.4190551, -81.3298746 28.4190551, -81.32988159999999 28.419634, -81.3298684 28.4196341, -81.3298688 28.4196724, -81.3300058 28.4196711, -81.3300052 28.4196437, -81.3299999 28.4191417, -81.3304377 28.4191381))",POINT (-81.3300246 28.419281),1219.8,13129.5
,27,334468874,,roof,,,"POLYGON ((-81.3318416 28.4216883, -81.33187820000001 28.4217026, -81.3319134 28.4217125, -81.3319401 28.4217177, -81.33197199999999 28.4217214, -81.3320021 28.4217226, -81.3319999 28.4215424, -81.3319592 28.4215671, -81.3319255 28.4215979, -81.3318919 28.42163, -81.33186310000001 28.4216602, -81.3318416 28.4216883))",POINT (-81.33194399999999 28.4216506),182.6,1965.5
,28,334468875,,yes,,,"POLYGON ((-81.3338157 28.4392088, -81.3336618 28.4392094, -81.3336628 28.439414, -81.333585 28.4394149, -81.3335778 28.4389346, -81.33364570000001 28.4389338, -81.3336451 28.4388927, -81.33369159999999 28.4388921, -81.333691 28.4388526, -81.333781 28.4389038, -81.333781 28.4389318, -81.3338157 28.4389318, -81.3338157 28.4392088))",POINT (-81.33368520000001 28.4391023),955.0,10279.7
,29,334468876,,yes,,,"POLYGON ((-81.3309126 28.4156659, -81.33002070000001 28.4161599, -81.3297994 28.4158509, -81.3298649 28.4158147, -81.32978199999999 28.4156989, -81.3298556 28.4156581, -81.3297735 28.4155434, -81.3299478 28.4154468, -81.3298643 28.4153302, -81.33020260000001 28.4151428, -81.3302861 28.4152594, -81.33052619999999 28.4151264, -81.3309126 28.4156659))",POINT (-81.33028210000001 28.4156136),7534.8,81104.2
,30,334468877,,yes,,,"POLYGON ((-81.33237320000001 28.4166972, -81.33114639999999 28.4173802, -81.3311808 28.417428, -81.33084959999999 28.4176124, -81.3303611 28.4169338, -81.3304674 28.4168746, -81.3302272 28.416541, -81.3302724 28.4165158, -81.33026409999999 28.4165042, -81.3316706 28.4157211, -81.3317855 28.4158808, -81.3317349 28.415909, -81.3319099 28.4161521, -81.33196049999999 28.4161239, -81.33237320000001 28.4166972))",POINT (-81.3312591 28.416655),22596.8,243229.4
