name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
イチョウ通り,11,25128691,141,157,1,219.5507804918893,1,29,,service,7,"LINESTRING (132.7144936 34.4038715, 132.7144936 34.4036752, 132.7145432 34.4035432, 132.7146506 34.4034533, 132.7147924 34.4034088, 132.7150471 34.4033962, 132.7152489 34.4033627, 132.7153863 34.4033098, 132.7154053 34.4032914, 132.7154667 34.4032196, 132.7154807 34.4030903, 132.7154292 34.4029628, 132.7152919 34.4028425, 132.7151116 34.4027291, 132.7149443 34.4026596)",bike;walk,1
イチョウ通り,12,25128691,157,141,1,219.55078049188927,1,29,,service,7,"LINESTRING (132.7149443 34.4026596, 132.7151116 34.4027291, 132.7152919 34.4028425, 132.7154292 34.4029628, 132.7154807 34.4030903, 132.7154667 34.4032196, 132.7154053 34.4032914, 132.7153863 34.4033098, 132.7152489 34.4033627, 132.7150471 34.4033962, 132.7147924 34.4034088, 132.7146506 34.4034533, 132.7145432 34.4035432, 132.7144936 34.4036752, 132.7144936 34.4038715)",bike;walk,1
イチョウ通り,13,25128691,157,159,1,86.03502777126707,1,29,,service,7,"LINESTRING (132.7149443 34.4026596, 132.714803 34.4026009, 132.7145799 34.4025513, 132.7143481 34.4025088, 132.7143321 34.4022525)",bike;walk,1
イチョウ通り,14,25128691,159,157,1,86.03502777126707,1,29,,service,7,"LINESTRING (132.7143321 34.4022525, 132.7143481 34.4025088, 132.7145799 34.4025513, 132.714803 34.4026009, 132.7149443 34.4026596)",bike;walk,1
広大通り,15,28065462,401,209,1,34.8225906044305,1,29,,tertiary,5,"LINESTRING (132.7163606 34.4065, 132.7164723 34.4062007)",auto;bike;walk,1
広大通り,16,28065462,209,401,1,34.8225906044305,1,29,,tertiary,5,"LINESTRING (132.7164723 34.4062007, 132.7163606 34.4065)",auto;bike;walk,1
広大通り,17,28065462,209,7,1,48.295742344846055,1,29,,tertiary,5,"LINESTRING (132.7164723 34.4062007, 132.7166393 34.4057888)",auto;bike;walk,1
広大通り,18,28065462,7,209,1,48.295742344846055,1,29,,tertiary,5,"LINESTRING (132.7166393 34.4057888, 132.7164723 34.4062007)",auto;bike;walk,1
ががら道,19,44710796,12,242,1,12.78386379795294,1,29,,tertiary,5,"LINESTRING (132.7172023 34.3972379, 132.7173213 34.3972977)",auto;bike;walk,1
ががら道,20,44710796,242,12,1,12.78386379795294,1,29,,tertiary,5,"LINESTRING (132.7173213 34.3972977, 132.7172023 34.3972379)",auto;bike;walk,1
ががら道,21,44710796,242,117,1,163.09273602225895,1,29,,tertiary,5,"LINESTRING (132.7173213 34.3972977, 132.7176955 34.3974877, 132.7179015 34.3975373, 132.7180903 34.3975231, 132.7182233 34.3974222, 132.718564 34.3970073, 132.7186418 34.3969054)",auto;bike;walk,1
ががら道,22,44710796,117,242,1,163.09273602225895,1,29,,tertiary,5,"LINESTRING (132.7186418 34.3969054, 132.718564 34.3970073, 132.7182233 34.3974222, 132.7180903 34.3975231, 132.7179015 34.3975373, 132.7176955 34.3974877, 132.7173213 34.3972977)",auto;bike;walk,1
ががら道,23,44710796,117,402,1,119.06412872727367,1,29,,tertiary,5,"LINESTRING (132.7186418 34.3969054, 132.718918 34.3966277, 132.7190065 34.3965524, 132.7191071 34.3964916, 132.7192345 34.3964528, 132.7194075 34.3964362, 132.7195309 34.3964396, 132.7196422 34.3964661, 132.7197 34.3964827)",auto;bike;walk,1
ががら道,24,44710796,402,117,1,119.06412872727367,1,29,,tertiary,5,"LINESTRING (132.7197 34.3964827, 132.7196422 34.3964661, 132.7195309 34.3964396, 132.7194075 34.3964362, 132.7192345 34.3964528, 132.7191071 34.3964916, 132.7190065 34.3965524, 132.718918 34.3966277, 132.7186418 34.3969054)",auto;bike;walk,1
