name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,15,356928685.0,,library,,,"POLYGON ((132.7110207 34.3983964, 132.711017 34.3987295, 132.7110721 34.3987299, 132.7110701 34.3989094, 132.710978 34.3989088, 132.7109785 34.3988563, 132.710842 34.3988553, 132.7108415 34.3988925, 132.7103482 34.3988888, 132.7103518 34.3985548, 132.7104337 34.3985554, 132.7104355 34.3983921, 132.7110207 34.3983964))",POINT (132.7107044 34.3986518),3298.9,35508.5,7
,156,429437744.0,,parking,,,"POLYGON ((132.71001 34.4044626, 132.7104855 34.4044759, 132.7104881 34.4044028, 132.7106598 34.404405, 132.7106491 34.4042391, 132.7106196 34.4041793, 132.7105061 34.4040915, 132.7104881 34.4040775, 132.7103192 34.4039492, 132.7102199 34.4039027, 132.7100134 34.4038828, 132.7100144 34.4039024, 132.710016 34.4039352, 132.71001 34.4044626))",POINT (132.7102849 34.4042133),2984.5,32125.2,4
,158,450682256.0,,parking,,,"POLYGON ((132.7166847 34.3975489, 132.716415 34.3979012, 132.7162465 34.3981052, 132.7161875 34.3981515, 132.7161819 34.3982721, 132.7160695 34.398279, 132.7160948 34.3975049, 132.7165555 34.3975095, 132.7166847 34.3975489))",POINT (132.716289 34.3977886),2617.5,28174.7,8
,25,371670860.0,,parking,,,"POLYGON ((132.7152647 34.3970217, 132.7159896 34.39677, 132.7162252 34.3967143, 132.7161668 34.3965772, 132.7157942 34.3966661, 132.7155824 34.3966826, 132.7154582 34.3966872, 132.7152994 34.3966721, 132.7151022 34.3966389, 132.7152647 34.3970217))",POINT (132.7155985 34.3967743),2291.9,24669.8,8
???H?f????????,0,180570267.0,,college,,,"POLYGON ((132.7140657 34.3968623, 132.7145753 34.3968756, 132.7145914 34.39661, 132.7143124 34.3965968, 132.7143178 34.3963843, 132.7138994 34.3963843, 132.7138994 34.3965481, 132.7140657 34.3965481, 132.7140657 34.3968623))",POINT (132.7142497 34.3966418),2238.8,24098.3,8
,134,408288682.0,,parking,,,"POLYGON ((132.7091097 34.4017282, 132.7099176 34.4017195, 132.7099163 34.4016357, 132.7099506 34.4016353, 132.7099497 34.4015807, 132.7098581 34.4015817, 132.709856 34.4014467, 132.7091053 34.4014548, 132.7091097 34.4017282))",POINT (132.7095017 34.40159),2190.1,23574.4,4
,248,884272451.0,,yes,,,"POLYGON ((132.7122876 34.4041309, 132.7122891 34.4039732, 132.712374 34.4039682, 132.7123609 34.4039455, 132.7123604 34.4036577, 132.7123121 34.4036494, 132.7123103 34.403511, 132.7124957 34.4035024, 132.7124959 34.4035411, 132.71257 34.4035408, 132.7125735 34.403942, 132.7125737 34.403974, 132.7129497 34.4039673, 132.7129554 34.4041377, 132.7122876 34.4041309))",POINT (132.7125421 34.4038975),2153.7,23181.9,5
,22,371670856.0,,parking,,,"POLYGON ((132.7148799 34.4014322, 132.7154867 34.4015078, 132.7154854 34.4010582, 132.7151174 34.4010774, 132.7151149 34.4012106, 132.7149444 34.4012191, 132.7148786 34.4012212, 132.7148799 34.4014322))",POINT (132.7152262 34.401291),2124.4,22866.8,5
,246,882802910.0,,yes,,,"POLYGON ((132.710959 34.4041341, 132.710955 34.4039781, 132.7116309 34.403971, 132.711633 34.4036488, 132.7117146 34.4036506, 132.7117299 34.4036096, 132.7117706 34.4036106, 132.7117575 34.4038666, 132.7118261 34.4038666, 132.711839 34.4042454, 132.7117253 34.4042507, 132.7117296 34.4040914, 132.7117001 34.4040966, 132.7117014 34.4041331, 132.710959 34.4041341))",POINT (132.7114991 34.4040027),2062.2,22196.9,4
,64,371670908.0,,yes,,,"POLYGON ((132.7161354 34.3952536, 132.7164715 34.3952485, 132.7164586 34.3946604, 132.7161225 34.3946654, 132.7161354 34.3952536))",POINT (132.716297 34.394957),2015.3,21692.3,11
